文件路径,页码,图片,角度,标签,面积,bid,异常
135/食字第07册.pdf,0,Im0,0.00,正,3291175.85,135_7_0_0,异常
135/食字第07册.pdf,1,Im0,0.00,正,265538.34,135_7_1_4,
135/食字第07册.pdf,1,Im1,0.00,正,264803.26,135_7_1_3,
135/食字第07册.pdf,1,Im2,-0.25,正,266997.39,135_7_1_2,
135/食字第07册.pdf,1,Im3,-0.25,正,267835.39,135_7_1_1,
135/食字第07册.pdf,1,Im4,0.25,正,271793.71,135_7_1_0,
135/食字第07册.pdf,1,Im5,-179.75,反转,269118.18,135_7_1_5,
135/食字第07册.pdf,1,Im6,180.00,反转,265947.93,135_7_1_6,
135/食字第07册.pdf,1,Im7,180.00,反转,266389.71,135_7_1_7,
135/食字第07册.pdf,1,Im8,180.00,反转,262895.87,135_7_1_8,
135/食字第07册.pdf,1,Im9,180.00,反转,267742.50,135_7_1_9,
135/食字第07册.pdf,2,Im0,0.00,正,265826.00,135_7_2_4,
135/食字第07册.pdf,2,Im1,0.00,正,265088.39,135_7_2_3,
135/食字第07册.pdf,2,Im2,0.25,正,272310.25,135_7_2_2,
135/食字第07册.pdf,2,Im3,0.25,正,271987.24,135_7_2_1,
135/食字第07册.pdf,2,Im4,0.00,正,264362.14,135_7_2_0,
135/食字第07册.pdf,2,Im5,180.00,反转,263627.01,135_7_2_5,
135/食字第07册.pdf,2,Im6,180.00,反转,267301.21,135_7_2_6,
135/食字第07册.pdf,2,Im7,180.00,反转,265088.39,135_7_2_7,
135/食字第07册.pdf,2,Im8,180.00,反转,264308.01,135_7_2_8,
135/食字第07册.pdf,2,Im9,180.00,反转,261374.54,135_7_2_9,
135/食字第07册.pdf,3,Im0,0.00,正,265774.24,135_7_3_4,
135/食字第07册.pdf,3,Im1,0.00,正,259327.64,135_7_3_3,
135/食字第07册.pdf,3,Im2,0.00,正,264368.09,135_7_3_2,
135/食字第07册.pdf,3,Im3,0.00,正,263636.15,135_7_3_1,
135/食字第07册.pdf,3,Im4,0.00,正,263782.56,135_7_3_0,
135/食字第07册.pdf,3,Im5,180.00,反转,263636.20,135_7_3_5,
135/食字第07册.pdf,3,Im6,180.00,反转,264134.02,135_7_3_6,
135/食字第07册.pdf,3,Im7,180.00,反转,263402.80,135_7_3_7,
135/食字第07册.pdf,3,Im8,180.00,反转,265417.84,135_7_3_8,
135/食字第07册.pdf,3,Im9,180.00,反转,262935.98,135_7_3_9,
135/食字第07册.pdf,4,Im0,0.00,正,267948.88,135_7_4_4,
135/食字第07册.pdf,4,Im1,0.00,正,264846.91,135_7_4_3,
135/食字第07册.pdf,4,Im2,0.00,正,268117.09,135_7_4_2,
135/食字第07册.pdf,4,Im3,0.00,正,267078.99,135_7_4_1,
135/食字第07册.pdf,4,Im4,0.00,正,263886.33,135_7_4_0,
135/食字第07册.pdf,4,Im5,180.00,反转,265211.67,135_7_4_5,
135/食字第07册.pdf,4,Im6,180.00,反转,267299.43,135_7_4_6,
135/食字第07册.pdf,4,Im7,180.00,反转,266561.02,135_7_4_7,
135/食字第07册.pdf,4,Im8,179.75,反转,267067.60,135_7_4_8,
135/食字第07册.pdf,4,Im9,179.50,反转,272424.31,135_7_4_9,
135/食字第07册.pdf,5,Im0,0.00,正,264345.79,135_7_5_4,
135/食字第07册.pdf,5,Im1,0.00,正,267742.42,135_7_5_3,
135/食字第07册.pdf,5,Im2,0.00,正,266945.39,135_7_5_2,
135/食字第07册.pdf,5,Im3,0.00,正,265911.93,135_7_5_1,
135/食字第07册.pdf,5,Im4,0.00,正,267243.60,135_7_5_0,
135/食字第07册.pdf,5,Im5,180.00,反转,266506.99,135_7_5_5,
135/食字第07册.pdf,5,Im6,-179.75,反转,271714.20,135_7_5_6,
135/食字第07册.pdf,5,Im7,-179.75,反转,267703.92,135_7_5_7,
135/食字第07册.pdf,5,Im8,180.00,反转,266176.29,135_7_5_8,
135/食字第07册.pdf,5,Im9,180.00,反转,266028.63,135_7_5_9,
135/食字第07册.pdf,6,Im0,0.00,正,266945.49,135_7_6_4,
135/食字第07册.pdf,6,Im1,0.00,正,265911.95,135_7_6_3,
135/食字第07册.pdf,6,Im2,0.00,正,267944.56,135_7_6_2,
135/食字第07册.pdf,6,Im3,0.00,正,267796.46,135_7_6_1,
135/食字第07册.pdf,6,Im4,-0.25,正,269610.63,135_7_6_0,
135/食字第07册.pdf,6,Im5,179.75,反转,270828.88,135_7_6_5,
135/食字第07册.pdf,6,Im6,180.00,反转,266890.94,135_7_6_6,
135/食字第07册.pdf,6,Im7,180.00,反转,265566.78,135_7_6_7,
135/食字第07册.pdf,6,Im8,180.00,反转,268953.04,135_7_6_8,
135/食字第07册.pdf,6,Im9,180.00,反转,265554.15,135_7_6_9,
135/食字第07册.pdf,7,Im0,0.00,正,262643.99,135_7_7_4,
135/食字第07册.pdf,7,Im1,0.00,正,264103.87,135_7_7_3,
135/食字第07册.pdf,7,Im2,0.00,正,265127.74,135_7_7_2,
135/食字第07册.pdf,7,Im3,0.00,正,263812.29,135_7_7_1,
135/食字第07册.pdf,7,Im4,0.00,正,262495.60,135_7_7_0,
135/食字第07册.pdf,7,Im5,180.00,反转,261768.90,135_7_7_5,
135/食字第07册.pdf,7,Im6,180.00,反转,264572.81,135_7_7_6,
135/食字第07册.pdf,7,Im7,180.00,反转,263402.82,135_7_7_7,
135/食字第07册.pdf,7,Im8,180.00,反转,263038.88,135_7_7_8,
135/食字第07册.pdf,7,Im9,180.00,反转,266567.59,135_7_7_9,
135/食字第07册.pdf,8,Im0,0.00,正,263636.20,135_7_8_4,
135/食字第07册.pdf,8,Im1,0.00,正,264807.22,135_7_8_3,
135/食字第07册.pdf,8,Im2,0.00,正,263223.17,135_7_8_2,
135/食字第07册.pdf,8,Im3,0.00,正,264689.59,135_7_8_1,
135/食字第07册.pdf,8,Im4,0.00,正,266674.51,135_7_8_0,
135/食字第07册.pdf,8,Im5,180.00,反转,266970.31,135_7_8_5,
135/食字第07册.pdf,8,Im6,-179.75,反转,276160.38,135_7_8_6,
135/食字第07册.pdf,8,Im7,-179.75,反转,270350.35,135_7_8_7,
135/食字第07册.pdf,8,Im8,180.00,反转,266265.67,135_7_8_8,
135/食字第07册.pdf,8,Im9,180.00,反转,265379.53,135_7_8_9,
135/食字第10册.pdf,0,Im0,0.00,正,3290305.43,135_10_0_0,异常
135/食字第10册.pdf,1,Im0,0.00,正,264630.48,135_10_1_4,
135/食字第10册.pdf,1,Im1,0.00,正,263753.78,135_10_1_3,
135/食字第10册.pdf,1,Im2,0.00,正,267565.36,135_10_1_2,
135/食字第10册.pdf,1,Im3,0.00,正,264336.40,135_10_1_1,
135/食字第10册.pdf,1,Im4,0.00,正,266271.07,135_10_1_0,
135/食字第10册.pdf,1,Im5,180.00,反转,264221.67,135_10_1_5,
135/食字第10册.pdf,1,Im6,180.00,反转,265529.54,135_10_1_6,
135/食字第10册.pdf,1,Im7,180.00,反转,262469.12,135_10_1_7,
135/食字第10册.pdf,1,Im8,180.00,反转,263926.44,135_10_1_8,
135/食字第10册.pdf,1,Im9,180.00,反转,263052.06,135_10_1_9,
135/食字第10册.pdf,2,Im0,0.00,正,264274.26,135_10_2_4,
135/食字第10册.pdf,2,Im1,0.00,正,263400.56,135_10_2_3,
135/食字第10册.pdf,2,Im2,0.00,正,263695.26,135_10_2_2,
135/食字第10册.pdf,2,Im3,0.00,正,262817.70,135_10_2_1,
135/食字第10册.pdf,2,Im4,0.00,正,263577.72,135_10_2_0,
135/食字第10册.pdf,2,Im5,180.00,反转,262702.54,135_10_2_5,
135/食字第10册.pdf,2,Im6,180.00,反转,265441.75,135_10_2_6,
135/食字第10册.pdf,2,Im7,180.00,反转,266917.23,135_10_2_7,
135/食字第10册.pdf,2,Im8,180.00,反转,268923.90,135_10_2_8,
135/食字第10册.pdf,2,Im9,180.00,反转,264498.36,135_10_2_9,
135/食字第10册.pdf,3,Im0,0.00,正,264162.62,135_10_3_4,
135/食字第10册.pdf,3,Im1,0.00,正,263283.48,135_10_3_3,
135/食字第10册.pdf,3,Im2,0.00,正,267567.31,135_10_3_2,
135/食字第10册.pdf,3,Im3,0.00,正,265503.41,135_10_3_1,
135/食字第10册.pdf,3,Im4,-0.25,正,269223.38,135_10_3_0,
135/食字第10册.pdf,3,Im5,179.75,反转,269036.95,135_10_3_5,
135/食字第10册.pdf,3,Im6,180.00,反转,264046.05,135_10_3_6,
135/食字第10册.pdf,3,Im7,180.00,反转,263169.34,135_10_3_7,
135/食字第10册.pdf,3,Im8,-179.75,反转,272192.13,135_10_3_8,
135/食字第10册.pdf,3,Im9,-179.75,反转,270467.51,135_10_3_9,
135/食字第10册.pdf,4,Im0,0.00,正,267944.53,135_10_4_4,
135/食字第10册.pdf,4,Im1,0.00,正,266612.21,135_10_4_3,
