[WARN] PDF=文字第09册, Page=0, Image Im4 at cx=149.13 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=1, Image Im4 at cx=147.97 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=2, Image Im4 at cx=148.34 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=3, Image Im5 at cx=152.77 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=4, Image Im5 at cx=152.77 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=5, Image Im5 at cx=151.58 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=6, Image Im4 at cx=155.42 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=6, Image Im5 at cx=157.10 does not fit in any column, skipping.
[WARN] PDF=文字第09册, Page=7, Image Im4 at cx=151.86 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=0, Image Im4 at cx=152.52 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=0, Image Im5 at cx=154.45 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=1, Image Im4 at cx=156.00 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=1, Image Im5 at cx=150.96 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=2, Image Im4 at cx=153.70 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=2, Image Im5 at cx=153.27 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=3, Image Im5 at cx=143.80 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=4, Image Im4 at cx=148.86 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=5, Image Im4 at cx=152.52 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=5, Image Im5 at cx=154.45 does not fit in any column, skipping.
[WARN] PDF=字字第06册, Page=6, Image Im4 at cx=151.22 does not fit in any column, skipping.
[WARN] PDF=字字第09册, Page=1, Image Im4 at cx=152.91 does not fit in any column, skipping.
[WARN] PDF=字字第09册, Page=1, Image Im5 at cx=154.83 does not fit in any column, skipping.
[WARN] PDF=字字第09册, Page=2, Image Im4 at cx=151.81 does not fit in any column, skipping.
[WARN] PDF=字字第09册, Page=3, Image Im4 at cx=154.41 does not fit in any column, skipping.
[WARN] PDF=字字第09册, Page=3, Image Im5 at cx=156.93 does not fit in any column, skipping.
